id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,RightClickDisabled,PopUpWindow,IframeOrFrame,MissingTitle,ImagesOnlyInForm,CLASS_LABEL
11,4,1,5,75,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,31,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
12,1,0,5,61,4,0,0,0,0,0,0,0,0,10,1,1,0,0,0,0,12,42,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
13,2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,18,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
14,2,1,3,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,18,0,0,0,0,0.402061856,0,1,0,1,0,0,0,1,0,0,0
15,1,0,4,148,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,121,0,0,0,0,0.416666667,0,1,0,0,0,0,0,1,0,0,0
16,1,0,3,46,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,21,0,0,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0
17,2,1,2,52,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
18,2,0,6,89,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,25,57,0,0,0,0,0.285714286,1,1,0,0,0,0,0,0,1,0,1
19,4,1,3,53,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,26,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1
20,2,1,4,76,0,0,0,0,0,0,2,1,0,9,1,1,0,0,0,0,15,25,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,2,0,2,100,1,0,0,0,5,0,1,0,0,2,1,1,0,0,0,0,19,22,51,0,0,0,0.333333333,0,1,1,0,0,0,0,0,0,0,1
22,2,0,4,48,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
23,2,0,1, ,12,0,0,0,0,0,2,2,0,4,1,1,0,0,1,0,21,10,78,0,0,0,0.081632653,0,1,0,0,0,1,0,1,0,0,0
24,1,0,2,83,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,57,0,0,0,0,0.309090909,0,1,0,0,0,0,0,1,0,0,0
25,2,0,3,80,0,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,26,47,0,0,0,0,0.066666667,0,0,0,1,0,0,0,0,0,0,0
26,2,0,4,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,34,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
27,4,1,3,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,48,0,0,1,0, ,0,1,0,0,0,0,0,0,0,0,1
28,2,1,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
29,3,2,2,74,6,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,18,49,0,0,0,0,0.06,0,1,0,0,0,0,0,0,0,0,0
30,1,0,5,75,9,0,0,0,0,0,0,0,0,20,1,1,0,0,1,0,21,47,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
31,3,1,3,48,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
32,2,0,5,66,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,11,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
33,2,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0.851851852,1,0,0,0,0,0,0,1,0,0,0
34,2,0,3,52,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,24,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
35,3,1,2,56,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,32,0,0,0,0,0.058823529,0,1,1,0,1,0,0,0,0,0,0
36,2,1,2,39,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,17,0,0,0,0,0.301724138,0,1,0,0,0,0,0,0,0,0,0
37,4,0,5,87,1,0,0,0,0,0,2,0,0,11,1,0,0,0,1,0,13,33,33,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
38,1,0,4,52,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,30,0,0,0,0,0.142857143,1,1,0,0,0,0,0,1,0,0,1
39,2,0,3,70,5,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,15,48,0,0,0,0,0.296296296,0,1,0,1,0,0,0,0,0,0,0
40,2,1,2,53,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,19,8,18,0,0,0,0.473214286,0,1,1,0,0,0,0,1,0,0,0
41,1,0,0,37,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,0,14,1,14,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42,2,0,5,61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
43,2,1,2,71,3,1,0,0,0,0,2,1,0,7,1,1,0,0,0,0,18,22,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,2,0,2,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
45,3,1,5,58,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
46,2,1,4,48,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,22,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
47,2,0,1,80,5,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,6,67,0,0,0,0,0.225806452,0,1,1,0,0,0,0,1,0,0,0
48,1,0,5,98,11,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,11,80,0,0,0,0,0.958333333,0,1,0,0,0,0,0,0,0,0,0
49,2,1,2,45,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,19,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,0,0
50,2,0,3,115,0,0,0,0,0,1,4,3,0,19,1,1,0,0,0,0,13,44,50,0,0,0,0.291666667,0,1,0,0,0,0,0,1,0,0,0
51,6,1,6,103,0,0,0,0,0,0,0,0,0,19,1,1,0,0,1,0,12,84,0,0,2,0,0.263157895,0,1,1,0,0,0,0,0,0,0,1
52,1,0,4,74,7,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,11,56,0,0,0,0,0.123595506,0,1,0,0,0,0,0,0,0,0,0
53,1,0,1,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,4,0,0,0,0,0.785714286,0,1,0,0,0,0,0,1,0,0,1
54,3,1,2,55,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,23,25,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0
55,1,0,2,91,9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,19,65,0,0,0,0,0.115384615,0,1,0,0,0,0,0,0,0,0,0
56,3,1,3,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,31,0,0,0,0,0.181818182,1,1,0,0,0,0,0,1,0,0,1
57,3,1,5,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,44,0,0,0,0,0.25,1,1,0,0,0,0,0,0,0,1,1
58,3,1,2,49,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,16,18,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
59,1,0,3,38,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,21,10,0,0,0,0,0.105263158,0,1,0,0,0,0,0,0,0,0,1
60,13,11,6,165,2,2,0,0,0,0,1,1,0,18,1,1,0,1,0,0,84,58,15,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
61,2,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,18,0,0,0,0,0.95890411,0,1,0,0,0,0,0,0,0,0,0
62,2,0,2,140,7,0,0,0,3,0,4,3,0,22,1,1,0,0,0,0,18,63,51,0,0,0,0.045454546,0,1,0,0,0,0,0,0,0,0,0
63,3,1,6,99,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,78,0,0,0,0,0.363636364,0,1,0,0,0,0,0,0,0,0,0
64,2,1,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0.11627907,0,1,0,0,0,0,0,0,0,0,0
65,3,1,6,65,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,37,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
66,4,1,6,80,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,26,47,0,0,0,0,0.285714286,0,1,0,1,0,0,0,0,0,0,1
67,2,1,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
68,5,0,9,97,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,0,20,70,0,0,1,1,0.984126984,1,1,0,0,0,0,0,1,0,0,1
69,3,0,4,77,0,0,0,0,1,1,0,0,0,5,1,1,0,0,0,0,29,41,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
70,1,0,5,83,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,66,0,0,0,0,0.111111111,0,1,1,0,0,0,0,0,0,0,0
71,1,0,3,50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,26,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
72,1,0,4,61,2,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,26,28,0,0,0,0,0.272727273,0,1,1,1,0,0,0,0,0,0,0
73,1,0,2,104,14,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,11,86,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74,3,1,4,76,2,0,0,0,2,0,0,0,0,6,1,1,0,0,1,0,16,53,0,0,0,0,0.875,0,1,0,0,0,0,0,0,0,0,0
75,1,0,5,77,1,0,0,0,0,0,0,0,0,23,1,1,0,0,1,0,16,54,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
76,2,0,2,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,17,0,0,0,0,0.785714286,0,1,0,0,0,0,0,1,0,0,1
77,1,0,5,78,0,0,0,0,0,0,0,0,0,24,1,1,0,0,0,0,20,51,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
78,2,1,4,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
79,1,0,4,69,0,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,14,48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
80,3,1,2,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,1,0,2,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,28,14,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
82,3,1,3,53,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,20,26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
83,3,1,2,31,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
84,3,1,3,47,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,15,25,0,0,0,0,0.018867925,0,1,0,0,0,0,0,0,0,0,0
85,3,2,4,109,5,4,0,0,0,0,0,0,0,23,1,1,0,1,1,0,57,45,0,0,0,0,0.090909091,0,1,1,0,0,1,0,1,0,0,1
86,1,0,4,79,1,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,13,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
87,3,0,5,71,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
88,3,0,3,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,19,0,0,0,0,0.642857143,1,1,0,0,0,0,0,0,0,0,1
89,1,0,0,40,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,1,0,0,0,0,0.818181818,0,0,0,0,0,0,0,0,0,0,0
90,3,1,2,47,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,13,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
91,2,0,3,46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
92,1,0,10,169,0,0,0,0,5,0,1,0,0,4,1,0,0,0,0,0,19,132,10,0,1,0,0.238095238,0,1,0,0,0,0,0,0,0,0,0
93,2,1,3,55,3,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,17,31,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
94,2,1,4,57,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,26,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
95,3,1,1,47,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,17,15,7,0,0,0,0.298013245,0,1,0,1,0,0,0,0,0,0,0
96,2,0,4,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,32,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
97,4,1,10,2000,2,0,0,0,0,1,0,0,0,4,1,1,0,0,1,0,22,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
98,7,1,1,117,0,0,0,0,0,0,2,0,0,4,1,1,0,0,1,0,26,10,73,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
99,2,1,2,47,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,21,9,9,0,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0
100,2,1,0,68,0,0,0,0,1,0,3,2,0,6,1,0,0,0,0,0,24,1,35,0,0,0,0.688311688,0,1,1,0,1,0,0,0,0,0,0
101,6,4,4,63,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,41,15,0,0,0,0,0.142857143,1,1,0,1,0,0,0,0,0,0,1
102,2,1,4,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,20,0,0,0,0,0.083333333,0,1,1,0,0,0,0,0,0,0,1
103,3,1,2,118,6,0,0,0,0,0,3,2,0,5,1,0,0,0,0,0,29,16,65,0,0,0,0.941176471,0,1,1,0,0,0,0,0,0,0,0
104,1,0,2,31,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,15,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
105,2,1,2,121,13,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,18,96,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
106,3,0,3,60,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16,37,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
107,1,0,5,94,8,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,19,68,0,0,0,0,0.164179105,0,1,1,1,0,0,0,1,0,0,0
108,2,0,4,66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,35,0,0,0,0,0.583333333,0,1,0,0,0,0,0,1,0,1,1
109,1,0,5,55,3,0,0,0,0,0,0,0,0,11,1,1,0,0,0,0,15,33,0,0,0,0,0.4,0,1,1,0,0,0,0,0,0,0,0
110,1,0,3,60,0,0,0,0,1,0,0,0,0,26,1,1,0,0,0,0,7,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
111,1,0,1,75,6,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,16,52,0,0,0,0,0.138888889,0,1,0,0,0,0,0,1,0,0,0
112,2,0,2,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,17,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
113,1,0,4,79,1,0,0,0,0,0,0,0,0,31,1,1,0,0,0,0,13,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
114,2,0,1,32,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,18,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
115,3,0,3,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,29,0,0,0,0,0.785714286,0,1,0,0,0,0,0,1,0,0,1
116,1,0,2,56,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,35,0,0,0,0,0.513888889,0,1,0,1,0,0,0,1,0,0,0
117,2,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,25,0,0,0,0,0.96969697,1,1,1,0,1,0,0,1,0,0,0
118,2,0,1,67,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,18,13,28,0,0,0,0.363636364,0,1,1,0,0,0,0,1,0,0,0
119,1,0,2,47,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,8,32,0,0,0,0,0.5,0,1,0,0,0,0,0,1,0,1,0
120,4,0,3,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,40,0,0,1,0,0.153846154,1,1,0,0,0,0,0,1,0,0,1
121,3,0,2,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,17,0,0,0,0,0.166666667,0,1,0,0,0,0,0,1,0,0,1
122,6,4,4,62,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,28,27,0,0,2,0,0.058823529,0,1,0,0,0,0,0,0,0,0,1
123,5,1,2,52,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,19,26,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
124,5,1,1,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,15,19,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
125,1,0,3,77,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,51,0,0,0,0,0.1875,0,1,1,0,0,0,0,0,0,0,0
126,2,1,5,50,0,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,20,23,0,0,0,0,0.045454546,0,0,0,0,0,0,0,0,0,0,0
127,2,0,5,52,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,30,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
128,4,1,9,213,2,0,0,1,0,0,1,0,0,69,1,1,0,0,1,0,18,110,77,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
129,2,1,3,72,2,0,0,0,0,0,1,0,0,7,1,0,0,0,1,0,11,38,15,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0
130,2,0,5,57,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,15,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,2,1,5,113,10,0,0,0,1,0,0,0,0,16,1,1,0,0,1,0,20,86,0,0,0,0,0.256410256,0,0,0,0,0,0,0,1,0,0,0
132,1,0,11,170,1,0,0,0,0,0,0,0,0,41,1,1,0,0,1,0,26,137,0,0,2,1,0.903225807,1,1,0,0,0,0,0,0,0,0,1
133,2,0,6,81,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,22,52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
134,3,1,1,41,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,19,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135,2,0,2,62,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,26,29,0,0,1,0,0.9,0,1,0,0,0,0,0,0,0,0,1
136,1,0,2,77,2,0,0,0,6,0,0,0,0,5,1,1,0,0,1,0,20,50,0,0,0,0,0.342857143,0,1,0,0,0,0,0,1,0,0,0
137,2,0,2,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,15,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,1
138,3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
139,3,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,2,1,4,114,2,0,0,0,2,0,6,5,0,14,1,1,0,0,0,0,18,26,62,0,0,0,0.222222222,0,0,0,0,0,0,0,1,0,0,0
141,3,1,1,112,0,0,0,0,1,0,6,5,0,7,1,1,0,0,0,0,28,10,66,0,0,0,0.058823529,0,1,0,0,0,0,0,0,0,0,0
142,2,1,3,94,1,0,0,0,0,2,2,1,0,11,1,0,0,0,1,0,19,27,40,0,0,0,0.8125,0,1,1,0,1,0,0,1,0,0,0
143,3,1,2,57,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,14,36,0,0,0,0,0.076923077,0,1,0,0,0,0,0,0,0,0,0
144,5,1,11,122,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,20,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,1,0,6, ,12,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,13,88,0,0,0,0,0.125,0,1,0,0,0,0,0,1,0,0,0
146,2,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
147,2,1,3,60,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,24,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
148,3,1,2,125,0,0,0,0,1,8,1,0,0,8,1,0,0,0,1,0,17,18,82,0,1,0,0.032258065,0,1,0,0,0,0,0,0,0,0,0
149,3,0,4,57,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,39,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
150,3,1,3,56,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0, ,22,0,0,0,0,0.263157895,1,1,0,0,0,0,0,1,0,0,1
151,1,0,4,64,0,0,0,0,0,0,0,0,0,21,1,1,0,0,0,0,14,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
152,3,1,4,69,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,26,36,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
153,4,1,2,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,33,0,0,1,0,0.090909091,0,1,0,0,0,0,0,0,0,1,1
154,3,1,2,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,17,11,0,0,0,0,0.625,0,1,1,0,1,0,0,0,0,0,0
155,2,0,3,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,28,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
156,1,0,4,42,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
157,3,1,4,64,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,22,35,0,0,0,0,0.9,1,1,0,0,0,0,0,0,0,0,1
158,3,1,3,48,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,17,24,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1
159,2,0,1,57,0,0,0,0,0,0,3,2,0,6,1,0,0,0,0,0,9,13,27,0,0,0,0.096774194,0,1,1,0,0,0,0,0,0,0,0
160,2,0,3,57,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,36,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1
161,1,0,3,32,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,15,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
162,5,1,2,57,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,26,24,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
163,3,1,1,114,0,0,0,0,2,1,7,6,0,5,1,0,0,0,0,0,17,7,82,0,0,0,0.071428571,0,1,0,0,0,0,0,0,0,0,0
164,2,0,3,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
165,2,1,3,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
166,1,0,3,46,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,15,24,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0
167,3,1,2,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,21,0,0,0,0,0.454545455,1,1,0,1,0,0,0,0,0,0,1
